rank,discipline,yrs.since.phd,yrs.service,sex,salary
Full,Applied,19,18,Male,139.75
Full,Applied,20,16,Male,173.2
Assistant,Applied,4,3,Male,79.75
Full,Applied,45,39,Male,115
Full,Applied,40,41,Male,141.5
Associate,Applied,6,6,Male,97
Full,Applied,30,23,Male,175
Full,Applied,45,45,Male,147.765
Full,Applied,21,20,Male,119.25
Full,Applied,18,18,Female,129
Associate,Applied,12,8,Male,119.8
Assistant,Applied,7,2,Male,79.8
Assistant,Applied,1,1,Male,77.7
Assistant,Applied,2,0,Male,78
Full,Applied,20,18,Male,104.8
Full,Applied,12,3,Male,117.15
Full,Applied,19,20,Male,101
Full,Theoretical,38,34,Male,103.45
Full,Theoretical,37,23,Male,124.75
Full,Theoretical,39,36,Female,137
Full,Theoretical,31,26,Male,89.565
Full,Theoretical,36,31,Male,102.58
Full,Theoretical,34,30,Male,93.904
Full,Theoretical,24,19,Male,113.068
Associate,Theoretical,13,8,Female,74.83
Full,Theoretical,21,8,Male,106.294
Full,Theoretical,35,23,Male,134.885
Assistant,Applied,5,3,Male,82.379
Assistant,Applied,11,0,Male,77
Full,Applied,12,8,Male,118.223
Full,Applied,20,4,Male,132.261
Assistant,Applied,7,2,Male,79.916
Full,Applied,13,9,Male,117.256
Assistant,Applied,4,2,Male,80.225
Assistant,Applied,4,2,Female,80.225
Assistant,Applied,5,0,Female,77
Full,Applied,22,21,Male,155.75
Assistant,Applied,7,4,Male,86.373
Full,Applied,41,31,Male,125.196
Associate,Applied,9,9,Male,100.938
Full,Applied,23,2,Male,146.5
Associate,Applied,23,23,Male,93.418
Full,Applied,40,27,Male,101.299
Full,Applied,38,38,Male,231.545
Full,Applied,19,19,Male,94.384
Full,Applied,25,15,Male,114.778
Full,Applied,40,28,Male,98.193
Full,Applied,23,19,Female,151.768
Full,Applied,25,25,Female,140.096
Assistant,Applied,1,1,Male,70.768
Full,Applied,28,28,Male,126.621
Full,Applied,12,11,Male,108.875
Assistant,Applied,11,3,Female,74.692
Full,Applied,16,9,Male,106.639
Associate,Applied,12,11,Male,103.76
Associate,Applied,14,5,Male,83.9
Full,Applied,23,21,Male,117.704
Associate,Applied,9,8,Male,90.215
Associate,Applied,10,9,Male,100.135
Assistant,Applied,8,3,Male,75.044
Associate,Applied,9,8,Male,90.304
Assistant,Applied,3,2,Male,75.243
Full,Applied,33,31,Male,109.785
Associate,Applied,11,11,Female,103.613
Assistant,Applied,4,3,Male,68.404
Associate,Applied,9,8,Male,100.522
Full,Applied,22,12,Male,101
Full,Applied,35,31,Male,99.418
Full,Applied,17,17,Female,111.512
Full,Applied,28,36,Male,91.412
Full,Applied,17,2,Male,126.32
Full,Applied,45,45,Male,146.856
Full,Applied,29,19,Male,100.131
Full,Applied,35,34,Male,92.391
Full,Applied,28,23,Male,113.398
Assistant,Applied,8,3,Male,73.266
Full,Applied,17,3,Male,150.48
Full,Applied,26,19,Male,193
Assistant,Applied,3,1,Male,86.1
Assistant,Applied,6,2,Male,84.24
Full,Applied,43,28,Male,150.743
Full,Applied,17,16,Male,135.585
Full,Applied,22,20,Male,144.64
Assistant,Applied,6,2,Male,88.825
Full,Applied,17,18,Female,122.96
Full,Applied,15,14,Male,132.825
Full,Applied,37,37,Male,152.708
Assistant,Applied,2,2,Male,88.4
Full,Applied,25,25,Male,172.272
Associate,Applied,9,7,Male,107.008
Assistant,Applied,10,5,Female,97.032
Associate,Applied,10,7,Male,105.128
Associate,Applied,10,7,Male,105.631
Full,Applied,38,38,Male,166.024
Full,Applied,21,20,Male,123.683
Assistant,Applied,4,0,Male,84
Associate,Applied,17,12,Male,95.611
Full,Applied,13,7,Male,129.676
Full,Applied,30,14,Male,102.235
Full,Applied,41,26,Male,106.689
Full,Applied,42,25,Male,133.217
Full,Applied,28,23,Male,126.933
Full,Applied,16,5,Male,153.303
Full,Applied,20,14,Female,127.512
Associate,Theoretical,18,10,Male,83.85
Full,Theoretical,31,28,Male,113.543
Associate,Theoretical,11,8,Male,82.099
Associate,Theoretical,10,8,Male,82.6
Associate,Theoretical,15,8,Male,81.5
Full,Theoretical,40,31,Male,131.205
Full,Theoretical,20,16,Male,112.429
Associate,Theoretical,19,16,Male,82.1
Assistant,Theoretical,3,1,Male,72.5
Full,Theoretical,37,37,Male,104.279
Full,Theoretical,12,0,Female,105
Full,Theoretical,21,9,Male,120.806
Full,Theoretical,30,29,Male,148.5
Full,Theoretical,39,36,Male,117.515
Assistant,Theoretical,4,1,Male,72.5
Assistant,Theoretical,5,3,Female,73.5
Full,Theoretical,14,14,Male,115.313
Full,Theoretical,32,32,Male,124.309
Full,Theoretical,24,22,Male,97.262
Associate,Theoretical,25,22,Female,62.884
Full,Theoretical,24,22,Male,96.614
Full,Theoretical,54,49,Male,78.162
Full,Theoretical,28,26,Male,155.5
Assistant,Theoretical,2,0,Female,72.5
Full,Theoretical,32,30,Male,113.278
Assistant,Theoretical,4,2,Male,73
Associate,Theoretical,11,9,Male,83.001
Full,Theoretical,56,57,Male,76.84
Associate,Theoretical,10,8,Female,77.5
Assistant,Theoretical,3,1,Female,72.5
Full,Theoretical,35,25,Male,168.635
Full,Theoretical,20,18,Male,136
Full,Theoretical,16,14,Male,108.262
Full,Theoretical,17,14,Male,105.668
Associate,Theoretical,10,7,Male,73.877
Full,Theoretical,21,18,Male,152.664
Associate,Theoretical,14,8,Male,100.102
Associate,Theoretical,15,10,Male,81.5
Full,Theoretical,19,11,Male,106.608
Assistant,Applied,3,3,Male,89.942
Full,Applied,27,27,Male,112.696
Full,Applied,28,28,Male,119.015
Assistant,Applied,4,4,Male,92
Full,Applied,27,27,Male,156.938
Full,Applied,36,26,Female,144.651
Assistant,Applied,4,3,Male,95.079
Full,Applied,14,12,Male,128.148
Assistant,Applied,4,4,Male,92
Full,Applied,21,9,Male,111.168
Associate,Applied,12,10,Female,103.994
Assistant,Applied,4,0,Male,92
Full,Applied,21,21,Male,118.971
Associate,Applied,12,18,Male,113.341
Assistant,Applied,1,0,Male,88
Associate,Applied,6,6,Male,95.408
Full,Applied,15,16,Male,137.167
Assistant,Applied,2,2,Male,89.516
Full,Applied,26,19,Male,176.5
Associate,Applied,22,7,Male,98.51
Assistant,Applied,3,3,Male,89.942
Assistant,Applied,1,0,Male,88.795
Full,Applied,21,8,Male,105.89
Full,Applied,16,16,Male,167.284
Full,Applied,18,19,Male,130.664
Associate,Applied,8,6,Male,101.21
Full,Applied,25,18,Male,181.257
Assistant,Applied,5,5,Male,91.227
Full,Applied,19,19,Male,151.575
Full,Applied,37,24,Male,93.164
Full,Applied,20,20,Male,134.185
Associate,Applied,17,6,Male,105
Full,Applied,28,25,Male,111.751
Associate,Applied,10,7,Male,95.436
Associate,Applied,13,9,Male,100.944
Full,Applied,27,14,Male,147.349
Assistant,Applied,3,3,Female,92
Full,Applied,11,11,Male,142.467
Full,Applied,18,5,Male,141.136
Associate,Applied,8,8,Male,100
Full,Applied,26,22,Male,150
Full,Applied,23,23,Male,101
Full,Applied,33,30,Male,134
Associate,Applied,13,10,Female,103.75
Full,Applied,18,10,Male,107.5
Associate,Applied,28,28,Male,106.3
Full,Applied,25,19,Male,153.75
Full,Applied,22,9,Male,180
Full,Applied,43,22,Male,133.7
Full,Applied,19,18,Male,122.1
Associate,Applied,19,19,Male,86.25
Associate,Applied,48,53,Male,90
Associate,Applied,9,7,Male,113.6
Assistant,Applied,4,4,Male,92.7
Assistant,Applied,4,4,Male,92
Full,Applied,34,33,Male,189.409
Full,Applied,38,22,Male,114.5
Assistant,Applied,4,4,Male,92.7
Full,Applied,40,40,Male,119.7
Full,Applied,28,17,Male,160.4
Full,Applied,17,17,Male,152.5
Full,Applied,19,5,Male,165
Full,Applied,21,2,Male,96.545
Full,Applied,35,33,Male,162.2
Full,Applied,18,18,Male,120
Assistant,Applied,7,2,Male,91.3
Full,Applied,20,20,Male,163.2
Assistant,Applied,4,3,Male,91
Full,Applied,39,39,Male,111.35
Full,Applied,15,7,Male,128.4
Full,Applied,26,19,Male,126.2
Associate,Applied,11,1,Male,118.7
Full,Applied,16,11,Male,145.35
Full,Applied,15,11,Male,146
Associate,Applied,29,22,Male,105.35
Associate,Applied,14,7,Female,109.65
Full,Applied,13,11,Male,119.5
Full,Applied,21,21,Male,170
Full,Applied,23,10,Male,145.2
Associate,Applied,13,6,Male,107.15
Full,Applied,34,20,Male,129.6
Full,Theoretical,38,35,Male,87.8
Full,Theoretical,20,20,Male,122.4
Assistant,Theoretical,3,1,Male,63.9
Associate,Theoretical,9,7,Male,70
Full,Theoretical,16,11,Male,88.175
Full,Theoretical,39,38,Male,133.9
Full,Theoretical,29,27,Female,91
Associate,Theoretical,26,24,Female,73.3
Full,Theoretical,38,19,Male,148.75
Full,Theoretical,36,19,Female,117.555
Assistant,Theoretical,8,3,Male,69.7
Full,Theoretical,28,17,Male,81.7
Full,Theoretical,25,25,Male,114
Assistant,Theoretical,7,6,Female,63.1
Full,Theoretical,46,40,Male,77.202
Full,Theoretical,19,6,Male,96.2
Assistant,Theoretical,5,3,Male,69.2
Full,Theoretical,31,30,Male,122.875
Full,Theoretical,38,37,Male,102.6
Full,Theoretical,23,23,Male,108.2
Full,Theoretical,19,23,Male,84.273
Full,Theoretical,17,11,Female,90.45
Full,Theoretical,30,23,Male,91.1
Full,Theoretical,21,18,Male,101.1
Full,Theoretical,28,23,Male,128.8
Full,Theoretical,29,7,Male,204
Full,Theoretical,39,39,Male,109
Full,Theoretical,20,8,Male,102
Full,Theoretical,31,12,Male,132
Assistant,Theoretical,4,2,Female,77.5
Full,Theoretical,28,7,Female,116.45
Associate,Theoretical,12,8,Male,83
Full,Theoretical,22,22,Male,140.3
Associate,Theoretical,30,23,Male,74
Assistant,Theoretical,9,3,Male,73.8
Full,Theoretical,32,30,Male,92.55
Associate,Theoretical,41,33,Male,88.6
Full,Theoretical,45,45,Male,107.55
Full,Theoretical,31,26,Male,121.2
Full,Theoretical,31,31,Male,126
Full,Theoretical,37,35,Male,99
Full,Theoretical,36,30,Male,134.8
Full,Theoretical,43,43,Male,143.94
Full,Theoretical,14,10,Male,104.35
Full,Theoretical,47,44,Male,89.65
Full,Theoretical,13,7,Male,103.7
Full,Theoretical,42,40,Male,143.25
Full,Theoretical,42,18,Male,194.8
Assistant,Theoretical,4,1,Male,73
Assistant,Theoretical,8,4,Male,74
Assistant,Theoretical,8,3,Female,78.5
Full,Theoretical,12,6,Male,93
Full,Theoretical,52,48,Male,107.2
Full,Theoretical,31,27,Male,163.2
Full,Theoretical,24,18,Male,107.1
Full,Theoretical,46,46,Male,100.6
Full,Theoretical,39,38,Male,136.5
Full,Theoretical,37,27,Male,103.6
Full,Theoretical,51,51,Male,57.8
Full,Theoretical,45,43,Male,155.865
Associate,Theoretical,8,6,Male,88.65
Associate,Theoretical,49,49,Male,81.8
Full,Theoretical,28,27,Male,115.8
Assistant,Theoretical,2,0,Male,85
Full,Theoretical,29,27,Male,150.5
Assistant,Theoretical,8,5,Male,74
Full,Theoretical,33,7,Male,174.5
Full,Theoretical,32,28,Male,168.5
Full,Theoretical,39,9,Male,183.8
Associate,Theoretical,11,1,Male,104.8
Full,Theoretical,19,7,Male,107.3
Full,Theoretical,40,36,Male,97.15
Full,Theoretical,18,18,Male,126.3
Full,Theoretical,17,11,Male,148.8
Full,Theoretical,49,43,Male,72.3
Associate,Theoretical,45,39,Male,70.7
Full,Theoretical,39,36,Male,88.6
Full,Theoretical,27,16,Male,127.1
Full,Theoretical,28,13,Male,170.5
Full,Theoretical,14,4,Male,105.26
Full,Theoretical,46,44,Male,144.05
Full,Theoretical,33,31,Male,111.35
Assistant,Theoretical,7,4,Male,74.5
Full,Theoretical,31,28,Male,122.5
Assistant,Theoretical,5,0,Male,74
Full,Theoretical,22,15,Male,166.8
Full,Theoretical,20,7,Male,92.05
Full,Theoretical,14,9,Male,108.1
Full,Theoretical,29,19,Male,94.35
Full,Theoretical,35,35,Male,100.351
Full,Theoretical,22,6,Male,146.8
Assistant,Applied,6,3,Male,84.716
Associate,Applied,12,9,Female,71.065
Full,Applied,46,45,Male,67.559
Full,Applied,16,16,Male,134.55
Full,Applied,16,15,Male,135.027
Full,Applied,24,23,Male,104.428
Associate,Applied,9,9,Male,95.642
Associate,Applied,13,11,Male,126.431
Full,Applied,24,15,Female,161.101
Full,Applied,30,31,Male,162.221
Assistant,Applied,8,4,Male,84.5
Full,Applied,23,15,Male,124.714
Full,Applied,37,37,Male,151.65
Associate,Applied,10,10,Male,99.247
Full,Applied,23,23,Male,134.778
Full,Applied,49,60,Male,192.253
Full,Applied,20,9,Male,116.518
Full,Applied,18,10,Female,105.45
Full,Applied,33,19,Male,145.098
Associate,Applied,19,6,Female,104.542
Full,Applied,36,38,Male,151.445
Full,Applied,35,23,Male,98.053
Full,Applied,13,12,Male,145
Full,Applied,32,25,Male,128.464
Full,Applied,37,15,Male,137.317
Full,Applied,13,11,Male,106.231
Full,Applied,17,17,Female,124.312
Full,Applied,38,38,Male,114.596
Full,Applied,31,31,Male,162.15
Full,Applied,32,35,Male,150.376
Full,Applied,15,10,Male,107.986
Full,Applied,41,27,Male,142.023
Full,Applied,39,33,Male,128.25
Assistant,Applied,4,3,Male,80.139
Full,Applied,27,28,Male,144.309
Full,Applied,56,49,Male,186.96
Full,Applied,38,38,Male,93.519
Full,Applied,26,27,Male,142.5
Full,Applied,22,20,Male,138
Assistant,Applied,8,1,Male,83.6
Full,Applied,25,21,Male,145.028
Full,Theoretical,49,40,Male,88.709
Full,Theoretical,39,35,Male,107.309
Full,Theoretical,28,14,Female,109.954
Assistant,Theoretical,11,4,Male,78.785
Full,Theoretical,14,11,Male,121.946
Full,Theoretical,23,15,Female,109.646
Full,Theoretical,30,30,Male,138.771
Associate,Theoretical,20,17,Male,81.285
Full,Theoretical,43,43,Male,205.5
Full,Theoretical,43,40,Male,101.036
Full,Theoretical,15,10,Male,115.435
Associate,Theoretical,10,1,Male,108.413
Full,Theoretical,35,30,Male,131.95
Full,Theoretical,33,31,Male,134.69
Associate,Theoretical,13,8,Male,78.182
Full,Theoretical,23,20,Male,110.515
Full,Theoretical,12,7,Male,109.707
Full,Theoretical,30,26,Male,136.66
Full,Theoretical,27,19,Male,103.275
Full,Theoretical,28,26,Male,103.649
Assistant,Theoretical,4,1,Male,74.856
Assistant,Theoretical,6,3,Male,77.081
Full,Theoretical,38,38,Male,150.68
Associate,Theoretical,11,8,Male,104.121
Assistant,Theoretical,8,3,Male,75.996
Full,Theoretical,27,23,Male,172.505
Associate,Theoretical,8,5,Male,86.895
Full,Theoretical,44,44,Male,105
Full,Theoretical,27,21,Male,125.192
Full,Theoretical,15,9,Male,114.33
Full,Theoretical,29,27,Male,139.219
Full,Theoretical,29,15,Male,109.305
Full,Theoretical,38,36,Male,119.45
Full,Theoretical,33,18,Male,186.023
Full,Theoretical,40,19,Male,166.605
Full,Theoretical,30,19,Male,151.292
Full,Theoretical,33,30,Male,103.106
Full,Theoretical,31,19,Male,150.564
Full,Theoretical,42,25,Male,101.738
Full,Theoretical,25,15,Male,95.329
Assistant,Theoretical,8,4,Male,81.035
